Date,MaxTemp,MinTemp,AvgTemp,Departure,HDD,CDD,Precipitation,NewSnow,SnowDepth
2023-07-20,88,70,79.0,0.5,0,14,0.00,0.0,0
2023-07-21,88,68,78.0,-0.4,0,13,0.75,0.0,0
2023-07-22,86,67,76.5,-1.9,0,12,0.00,0.0,0
2023-07-23,89,64,76.5,-1.8,0,12,0.00,0.0,0
2023-07-24,86,68,77.0,-1.3,0,12,1.97,0.0,0
2023-07-25,88,73,80.5,2.3,0,16,0.00,0.0,0
2023-07-26,89,68,78.5,0.3,0,14,0.00,0.0,0
2023-07-27,97,76,86.5,8.4,0,22,T,0.0,0
2023-07-28,97,75,86.0,8.0,0,21,0.39,0.0,0
2023-07-29,96,74,85.0,7.1,0,20,0.11,0.0,0
2023-07-30,86,69,77.5,-0.4,0,13,0.00,0.0,0
2023-07-31,86,66,76.0,-1.8,0,11,T,0.0,0
2023-08-01,82,63,72.5,-5.2,0,8,0.00,0.0,0
2023-08-02,83,60,71.5,-6.1,0,7,0.00,0.0,0
2023-08-03,80,65,72.5,-5.0,0,8,0.02,0.0,0
2023-08-04,82,67,74.5,-2.9,0,10,T,0.0,0
2023-08-05,88,67,77.5,0.1,0,13,0.00,0.0,0
2023-08-06,89,69,79.0,1.7,0,14,0.77,0.0,0
2023-08-07,89,70,79.5,2.3,0,15,1.83,0.0,0
2023-08-08,84,69,76.5,-0.6,0,12,T,0.0,0
2023-08-09,88,66,77.0,0.0,0,12,0.00,0.0,0
2023-08-10,83,72,77.5,0.6,0,13,0.05,0.0,0
2023-08-11,88,69,78.5,1.7,0,14,0.00,0.0,0
2023-08-12,93,70,81.5,4.8,0,17,0.00,0.0,0
2023-08-13,91,70,80.5,3.9,0,16,T,0.0,0
2023-08-14,92,69,80.5,4.0,0,16,0.83,0.0,0
2023-08-15,93,75,84.0,7.6,0,19,0.06,0.0,0
2023-08-16,88,69,78.5,2.2,0,14,0.00,0.0,0
2023-08-17,89,67,78.0,1.8,0,13,T,0.0,0
2023-08-18,85,63,74.0,-2.1,0,9,T,0.0,0
2023-08-19,83,58,70.5,-5.5,0,6,0.00,0.0,0
